2.39 80.67
2.81 65.30
2.87 66.24
2.92 67.13
2.97 68.01
3.03 68.86
3.08 69.73
3.14 70.63
3.20 71.50
3.26 72.40
3.33 73.30
3.39 74.18
3.46 75.06
3.53 75.95
3.61 76.83
3.68 77.66
3.75 78.48
3.82 79.25
3.89 80.00
3.97 80.71
4.04 81.41
4.11 82.06
4.18 82.71
4.26 83.32
4.33 83.90
4.40 84.46
4.47 85.00
4.54 85.51
4.62 86.00
4.69 86.46
4.76 86.90
4.83 87.30
4.91 87.68
4.98 88.04
5.05 88.37
5.12 88.68
5.19 88.94
5.27 89.20
5.34 89.42
5.41 89.60
5.48 89.76
5.55 89.88
5.63 89.96
5.70 90.00
5.77 90.00
5.84 89.95
5.92 89.85
5.99 89.68
6.06 89.43
6.13 89.10
6.20 88.65
6.28 88.04
6.35 87.25
6.40 86.34
6.44 85.38
6.47 84.29
6.49 83.23
